Source;g32p745,185121.87,-001205.3;
Date;27 Jun 2017;
TimeStart;20:41:50;UT;
TimeStop;20:48:50;UT;
Duration;420;sec;7;min
RA;18 51 21.87;
DEC;-0 01 205.3;
Epoch;2000.0;
Systemtemperature1;1u;34.1;
Systemtemperature2;9u;34.0;
FreqBBC1;567.17;MHz
FreqBBC2;569.17;MHz
FreqStart;6667.17;MHz
FreqStop;6669.17;MHz
End;36;----------------------;
